pointid,grid_code,xcoord,ycoord
"1",8.74587000000,-73.9113363443502,40.9153846975011
"2",8.83908000000,-73.9077760951823,40.9153819089817
"3",8.69766000000,-73.9113399477975,40.9126839417868
"4",8.76262000000,-73.9077798433242,40.9126811533793
"5",8.88485000000,-73.9042197391555,40.9126782552083
"6",8.95425000000,-73.9006596353033,40.9126752472739
"7",9.58256000000,-73.8970995317792,40.9126721295761
"8",8.72961000000,-73.9113435509518,40.9099831846647
"9",9.01131000000,-73.9077835911614,40.9099803963691
"10",9.19840000000,-73.9042236316755,40.9099774983144
"11",9.06268000000,-73.900663672506,40.9099744905007
"12",9.10645000000,-73.8971037136647,40.9099713729279
"13",8.75401000000,-73.8935437551632,40.9099681455962
"14",8.68937000000,-73.8899837970134,40.9099648085054
"15",9.66809000000,-73.854384237443,40.9099254008577
"16",9.45430000000,-73.8508242839374,40.9099208564192
"17",8.73318000000,-73.9113471538134,40.9072824261409
"18",9.12310000000,-73.907787338694,40.9072796379571
"19",9.43933000000,-73.9042275238791,40.9072767400187
"20",9.11339000000,-73.9006677093806,40.9072737323257
"21",9.08494000000,-73.8971078952102,40.907270614878
"22",8.73544000000,-73.8935480813797,40.9072673876757
"23",8.54666000000,-73.8899882679007,40.9072640507189
"24",8.74274000000,-73.8864284547851,40.9072606040075
"25",8.78969000000,-73.8828686420447,40.9072570475415
"26",9.29163000000,-73.8793088296911,40.907253381321
"27",9.62960000000,-73.8543901550364,40.9072246446522
"28",9.63521000000,-73.8508303462011,40.9072201003961
"29",9.63738000000,-73.8472705378586,40.9072154463857
"30",8.50496000000,-73.9149104271349,40.904584344543
"31",8.71241000000,-73.911350756382,40.9045816662213
"32",9.12736000000,-73.9077910859219,40.9045788781494
"33",9.44110000000,-73.9042314157664,40.9045759803273
"34",9.26813000000,-73.9006717459271,40.9045729727549
"35",9.18839000000,-73.8971120764159,40.9045698554323
"36",8.73554000000,-73.8935524072445,40.9045666283595
"37",8.56648000000,-73.8899927384247,40.9045632915366
"38",8.66626000000,-73.8864330699682,40.9045598449635
"39",8.88296000000,-73.8828734018868,40.9045562886402
"40",9.94152000000,-73.8793137341922,40.9045526225668
"41",9.14747000000,-73.8757540668961,40.9045488467433
"42",9.03401000000,-73.8721944000105,40.9045449611696
"43",9.29621000000,-73.8686347335469,40.904540965846
"44",9.83084000000,-73.8579557368064,40.9045283213747
"45",9.76994000000,-73.8543960721488,40.9045238870509
"46",9.87679000000,-73.8508364079721,40.9045193429771
"47",9.68585000000,-73.847276744288,40.9045146891534
"48",9.45320000000,-73.8437170811084,40.9045099255798
"49",9.36271000000,-73.8401574184449,40.9045050522562
"50",8.47138000000,-73.9149138847632,40.9018835831262
"51",8.69213000000,-73.9113543586579,40.901880904912
"52",9.07752000000,-73.9077948328454,40.901878116952
"53",9.33207000000,-73.9042353073374,40.9018752192461
"54",9.23381000000,-73.9006757821456,40.9018722117944
"55",9.30742000000,-73.8971162572818,40.9018690945969
"56",8.79876000000,-73.8935567327578,40.9018658676536
"57",8.61377000000,-73.8899972085854,40.9018625309645
"58",8.63617000000,-73.8864376847762,40.9018590845297
"59",9.03537000000,-73.882878161342,40.9018555283491
"60",10.37380000000,-73.8793186382946,40.9018518624228
"61",9.20093000000,-73.8757591156458,40.9018480867507
"62",9.13320000000,-73.8721995934072,40.901844201333
"63",9.26756000000,-73.8686400715907,40.9018402061696
"64",9.64801000000,-73.8650805502081,40.9018361012606
"65",10.00760000000,-73.8615210292709,40.9018318866059
"66",9.78500000000,-73.8579615087911,40.9018275622056
"67",9.88057000000,-73.8544019887804,40.9018231280598
"68",9.94794000000,-73.8508424692505,40.9018185841683
"69",10.35850000000,-73.8472829502131,40.9018139305314
"70",9.38570000000,-73.8437234316801,40.9018091671488
"71",9.17426000000,-73.8401639136632,40.9018042940208
"72",8.48157000000,-73.9149173421105,40.8991828203257
"73",8.68366000000,-73.9113579606411,40.899180142219
"74",9.73101000000,-73.9077985794644,40.8991773543708
"75",8.96744000000,-73.9042391985921,40.8991744567812
"76",9.05048000000,-73.9006798180361,40.8991714494502
"77",9.88833000000,-73.897120437808,40.8991683323777
"78",8.89167000000,-73.8935610579196,40.8991651055639
"79",8.60549000000,-73.8900016783828,40.8991617690087
"80",8.87538000000,-73.8864422992091,40.8991583227121
"81",9.36878000000,-73.8828829204105,40.8991547666742
"82",10.73580000000,-73.8793235419985,40.899151100895
"83",9.38922000000,-73.8757641639851,40.8991473253744
"84",9.20237000000,-73.8722047863819,40.8991434401126
"85",9.55933000000,-73.8686454092008,40.8991394451095
"86",9.91317000000,-73.8650860324533,40.8991353403652
"87",10.26320000000,-73.8615266561514,40.8991311258796
"88",9.94711000000,-73.8579672803068,40.8991268016528
"89",10.03410000000,-73.8544079049311,40.8991223676849
"90",9.87438000000,-73.8508485300362,40.8991178239758
"91",9.68559000000,-73.8472891556339,40.8991131705255
"92",9.33457000000,-73.8437297817358,40.8991084073341
"93",9.14256000000,-73.8401704083538,40.8991035344016
"94",8.50912000000,-73.9184800363032,40.8964846244097
"95",8.57638000000,-73.9149207991769,40.8964820561475
"96",8.77452000000,-73.9113615623315,40.8964793781482
"97",9.75712000000,-73.9078023257789,40.8964765904119
"98",8.82383000000,-73.9042430895306,40.8964736929385
"99",8.90413000000,-73.9006838535985,40.8964706857282
"100",9.15410000000,-73.8971246179944,40.8964675687808
