"","PUMA.x","healthinsW","unemprateW","singlemotW"
"1",100,0.951488622204735,0.0137616277044211,0.0814971473539249
"2",200,0.891874235749343,0.0512212264979793,0.0828154575453525
"3",300,0.880314118904695,0.0607206142941524,0.0563276046377765
"4",400,0.909137314956611,0.0246124031007752,0.0513678558599437
"5",500,0.916583262060306,0.0688143864088198,0.0456390006005132
"6",600,0.907505847331491,0.0715782122905028,0.0533276631937061
"7",700,0.904451594509836,0.0124643498468364,0.0722925915366758
"8",800,0.868886704349963,0.0587905149431738,0.0447898746620791
"9",900,0.981478363360835,0.0328661876645088,0.0810910927765617
"10",1000,0.931147183789084,0.047029702970297,0.111177688201329
"11",1100,0.944657709532949,0.0755331753554502,0.00767754318618042
"12",1200,0.948817152299198,0.0384706720493944,0.0716156853262403
"13",1300,0.912848812994586,0.0511723370208029,0.0729011721306598
"14",1400,0.88912384799899,0.0135618479880775,0.0905819972225729
"15",1500,0.948322046651618,0.0279338450581625,0.0710007524454477
"16",1600,0.902815413585634,0.0370344342937456,0.056147522160474
"17",1700,0.888831665685697,0.0249090400223901,0.0613841475377673
"18",1800,0.876674260417172,0.022827750382588,0.0601198843164817
"19",1900,0.892997146172421,0.104887248214429,0.0630978141562392
"20",2000,0.863082396308097,0.0662592373172025,0.129573802346016
"21",2100,0.861551556901637,0.078126328317606,0.155076508897995
